#日期,收盘,成交量(手),成交金额(万),涨跌幅,成交量(手),成交金额(万),换手率,日期,收盘
20171229,3307.17,141586832,17035676,-4.34,123544,89654.49,6,20171229,72.03
20171228,3296.38,175371680,20801986,9.43,160154,116409.47,7.77,20171228,75.3
20171227,3275.78,162674896,19826466,3.13,88445,61530.2,4.29,20171227,68.81
20171226,3306.12,142434496,17467926,0.45,38345,25378.26,1.86,20171226,66.72
20171225,3280.46,146893632,17729360,0.18,40275,26794.85,1.95,20171225,66.42
20171222,3297.06,124047328,15209944,1.22,41613,27455.2,2.02,20171222,66.3
20171221,3300.06,142127920,17374010,2.54,45145,29303.28,2.19,20171221,65.5
20171220,3287.61,137745120,16796186,-1.40,34023,21769.62,1.65,20171220,63.88
20171219,3296.54,115140136,15078659,1.36,28140,18194.65,1.37,20171219,64.79
20171218,3267.92,120700384,14973823,-3.73,57590,37133.73,2.79,20171218,63.92
20171215,3266.14,130940624,16187792,-2.77,63606,42884.06,3.09,20171215,66.4
20171214,3292.44,120544232,15134609,2.17,77991,52945.18,3.78,20171214,68.29
20171213,3303.04,111998648,14529531,1.10,40745,27141.76,1.98,20171213,66.84
20171212,3280.81,124604824,16097862,-1.09,58426,38965.57,2.84,20171212,66.11
20171211,3322.2,131965984,17298644,3.53,106375,71546.94,5.16,20171211,66.84
20171208,3289.99,133209312,16576165,2.57,66746,43077.71,3.24,20171208,64.56
20171207,3272.05,132105904,16176459,-2.43,44580,28356.73,2.16,20171207,62.94
20171206,3293.96,151604448,17917438,2.49,67563,43027.5,3.28,20171206,64.51
20171205,3303.68,208278848,24348960,-2.72,78292,49857.81,3.8,20171205,62.94
20171204,3309.62,148053296,18502536,-4.52,86286,56377.8,4.19,20171204,64.7
20171201,3317.62,139198304,17749026,1.39,74645,50725.16,3.62,20171201,67.76
20171130,3317.19,156595856,19207680,-2.86,68866,46378.19,3.34,20171130,66.83
20171129,3337.86,183805936,21776944,-4.06,99300,68562.51,4.82,20171129,68.8
20171128,3333.66,138247808,16706293,5.39,107160,74510.46,5.2,20171128,71.71
20171127,3322.23,166439168,20580340,-2.10,98664,68735.8,4.79,20171127,68.04
20171124,3353.82,159569664,20762388,-3.16,95671,68531.55,4.64,20171124,69.5
20171123,3351.92,215265408,27046902,-5.69,110656,81831.91,5.37,20171123,71.77
20171122,3430.46,213567104,27367474,2.51,153092,115668.3,7.43,20171122,76.1
20171121,3410.5,196871808,26530386,1.34,155606,115400.34,7.55,20171121,74.24
